127.0.0.1 - - [07/Sep/2023:14:24:49 +0900] "GET / HTTP/1.1" 404 807
192.168.0.41 - - [07/Sep/2023:14:27:29 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.0.41 - - [07/Sep/2023:14:27:29 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 21
192.168.0.41 - - [07/Sep/2023:14:27:29 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 64
192.168.0.41 - - [07/Sep/2023:14:27:29 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
192.168.0.41 - - [07/Sep/2023:14:27:30 +0900] "GET /furnimatch/image/re_chair2.jpeg HTTP/1.1" 200 90357
192.168.0.41 - - [07/Sep/2023:14:27:31 +0900] "POST /furnimatch/product_information.jsp HTTP/1.1" 200 174
192.168.0.41 - - [07/Sep/2023:14:27:31 +0900] "POST /furnimatch/get_ar.jsp HTTP/1.1" 200 16
192.168.0.41 - - [07/Sep/2023:14:27:31 +0900] "GET /furnimatch/image/re_chair2.jpeg HTTP/1.1" 200 90357
192.168.0.41 - - [07/Sep/2023:14:27:31 +0900] "GET /furnimatch/image/re_chair1.jpeg HTTP/1.1" 200 67723
192.168.0.41 - - [07/Sep/2023:14:27:34 +0900] "GET /furnimatch/image/office_chair_3.jpg HTTP/1.1" 200 38127
192.168.0.41 - - [07/Sep/2023:14:27:35 +0900] "GET /furnimatch/image/office_chair_2.jpeg HTTP/1.1" 200 54548
192.168.0.41 - - [07/Sep/2023:14:27:43 +0900] "POST /furnimatch/insert_favorite_list.jsp HTTP/1.1" 200 8
192.168.0.41 - - [07/Sep/2023:14:27:46 +0900] "POST /furnimatch/find_favorite_list.jsp HTTP/1.1" 200 57
192.168.0.41 - - [07/Sep/2023:14:27:49 +0900] "POST /furnimatch/find_sell_list.jsp HTTP/1.1" 200 57
192.168.0.41 - - [07/Sep/2023:14:27:52 +0900] "POST /furnimatch/delete_sell_list.jsp HTTP/1.1" 200 6
192.168.0.41 - - [07/Sep/2023:14:27:52 +0900] "POST /furnimatch/find_sell_list.jsp HTTP/1.1" 200 12
192.168.0.41 - - [07/Sep/2023:14:27:53 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 21
192.168.0.41 - - [07/Sep/2023:14:27:53 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 12
192.168.0.41 - - [07/Sep/2023:14:27:53 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
